id,uid,expt_id,duration,true,pred,age,gender,expert,filename
1,df28d326ca098ebc03e58dbfbf256259,2,1000,1,0,18,male,0,real-blur/real-blur-41.jpg
2,df28d326ca098ebc03e58dbfbf256259,2,1000,0,0,18,male,0,gan-blur/gan-blur-9.jpg
3,df28d326ca098ebc03e58dbfbf256259,2,1000,1,1,18,male,0,real-blur/real-blur-6.jpg
4,df28d326ca098ebc03e58dbfbf256259,2,1000,0,0,18,male,0,gan-blur/gan-blur-31.jpg
5,df28d326ca098ebc03e58dbfbf256259,2,1000,1,1,18,male,0,real-blur/real-blur-27.jpg
6,df28d326ca098ebc03e58dbfbf256259,2,1000,0,0,18,male,0,gan-blur/gan-blur-39.jpg
7,df28d326ca098ebc03e58dbfbf256259,2,250,0,0,18,male,0,gan-blur/gan-blur-36.jpg
8,df28d326ca098ebc03e58dbfbf256259,2,250,0,1,18,male,0,gan-blur/gan-blur-3.jpg
9,df28d326ca098ebc03e58dbfbf256259,2,250,1,1,18,male,0,real-blur/real-blur-5.jpg
10,df28d326ca098ebc03e58dbfbf256259,2,250,0,0,18,male,0,gan-blur/gan-blur-28.jpg
11,df28d326ca098ebc03e58dbfbf256259,2,250,0,0,18,male,0,gan-blur/gan-blur-13.jpg
12,df28d326ca098ebc03e58dbfbf256259,2,250,1,0,18,male,0,real-blur/real-blur-2.jpg
13,df28d326ca098ebc03e58dbfbf256259,2,500,1,0,18,male,0,real-blur/real-blur-43.jpg
14,df28d326ca098ebc03e58dbfbf256259,2,500,1,0,18,male,0,real-blur/real-blur-69.jpg
15,df28d326ca098ebc03e58dbfbf256259,2,500,1,0,18,male,0,real-blur/real-blur-1.jpg
16,df28d326ca098ebc03e58dbfbf256259,2,500,1,0,18,male,0,real-blur/real-blur-58.jpg
17,df28d326ca098ebc03e58dbfbf256259,2,500,1,1,18,male,0,real-blur/real-blur-38.jpg
18,df28d326ca098ebc03e58dbfbf256259,2,500,0,1,18,male,0,gan-blur/gan-blur-15.jpg
19,df28d326ca098ebc03e58dbfbf256259,2,5000,1,1,18,male,0,real-blur/real-blur-31.jpg
20,df28d326ca098ebc03e58dbfbf256259,2,5000,1,1,18,male,0,real-blur/real-blur-66.jpg
21,df28d326ca098ebc03e58dbfbf256259,2,5000,1,1,18,male,0,real-blur/real-blur-40.jpg
22,df28d326ca098ebc03e58dbfbf256259,2,5000,0,1,18,male,0,gan-blur/gan-blur-23.jpg
23,df28d326ca098ebc03e58dbfbf256259,2,5000,0,0,18,male,0,gan-blur/gan-blur-27.jpg
24,df28d326ca098ebc03e58dbfbf256259,2,5000,0,1,18,male,0,gan-blur/gan-blur-33.jpg
25,df28d326ca098ebc03e58dbfbf256259,2,2000,0,1,18,male,0,gan-blur/gan-blur-12.jpg
26,df28d326ca098ebc03e58dbfbf256259,2,2000,0,1,18,male,0,gan-blur/gan-blur-30.jpg
27,df28d326ca098ebc03e58dbfbf256259,2,2000,1,1,18,male,0,real-blur/real-blur-16.jpg
28,df28d326ca098ebc03e58dbfbf256259,2,2000,0,0,18,male,0,gan-blur/gan-blur-8.jpg
29,df28d326ca098ebc03e58dbfbf256259,2,2000,0,0,18,male,0,gan-blur/gan-blur-2.jpg
30,df28d326ca098ebc03e58dbfbf256259,2,2000,1,1,18,male,0,real-blur/real-blur-18.jpg
31,df28d326ca098ebc03e58dbfbf256259,1,500,0,0,18,male,0,gan/gan-23.jpg
